"","customerID","Prediction"
"1","7590-VHVEG","Churn"
"2","5575-GNVDE","Not_Churn"
"3","3668-QPYBK","Churn"
"4","7795-CFOCW","Not_Churn"
"5","9237-HQITU","Churn"
"6","9305-CDSKC","Churn"
"7","1452-KIOVK","Churn"
"8","6713-OKOMC","Not_Churn"
"9","7892-POOKP","Churn"
"10","6388-TABGU","Not_Churn"
"11","9763-GRSKD","Not_Churn"
"12","7469-LKBCI","Not_Churn"
"13","8091-TTVAX","Churn"
"14","0280-XJGEX","Churn"
"15","5129-JLPIS","Churn"
"16","3655-SNQYZ","Not_Churn"
"17","8191-XWSZG","Not_Churn"
"18","9959-WOFKT","Not_Churn"
"19","4190-MFLUW","Not_Churn"
"20","4183-MYFRB","Churn"
"21","8779-QRDMV","Churn"
"22","1680-VDCWW","Not_Churn"
"23","1066-JKSGK","Churn"
"24","3638-WEABW","Not_Churn"
"25","6322-HRPFA","Not_Churn"
"26","6865-JZNKO","Not_Churn"
"27","6467-CHFZW","Churn"
"28","8665-UTDHZ","Churn"
"29","5248-YGIJN","Not_Churn"
"30","8773-HHUOZ","Not_Churn"
"31","3841-NFECX","Not_Churn"
"32","4929-XIHVW","Churn"
"33","6827-IEAUQ","Not_Churn"
"34","7310-EGVHZ","Churn"
"35","3413-BMNZE","Churn"
"36","6234-RAAPL","Not_Churn"
"37","6047-YHPVI","Churn"
"38","6572-ADKRS","Not_Churn"
"39","5380-WJKOV","Churn"
"40","8168-UQWWF","Churn"
"41","8865-TNMNX","Not_Churn"
"42","9489-DEDVP","Not_Churn"
"43","9867-JCZSP","Not_Churn"
"44","4671-VJLCL","Not_Churn"
"45","4080-IIARD","Not_Churn"
"46","3714-NTNFO","Churn"
"47","5948-UJZLF","Not_Churn"
"48","7760-OYPDY","Churn"
"49","7639-LIAYI","Not_Churn"
"50","2954-PIBKO","Not_Churn"
"51","8012-SOUDQ","Churn"
"52","9420-LOJKX","Churn"
"53","6575-SUVOI","Not_Churn"
"54","7495-OOKFY","Churn"
"55","4667-QONEA","Not_Churn"
"56","1658-BYGOY","Churn"
"57","8769-KKTPH","Not_Churn"
"58","5067-XJQFU","Not_Churn"
"59","3957-SQXML","Not_Churn"
"60","5954-BDFSG","Not_Churn"
"61","0434-CSFON","Churn"
"62","1215-FIGMP","Churn"
"63","0526-SXDJP","Not_Churn"
"64","0557-ASKVU","Not_Churn"
"65","5698-BQJOH","Churn"
"66","5122-CYFXA","Churn"
"67","8627-ZYGSZ","Not_Churn"
"68","3410-YOQBQ","Not_Churn"
"69","3170-NMYVV","Not_Churn"
"70","7410-OIEDU","Churn"
"71","2273-QCKXA","Churn"
"72","0731-EBJQB","Not_Churn"
"73","1891-QRQSA","Not_Churn"
"74","8028-PNXHQ","Not_Churn"
"75","5630-AHZIL","Churn"
"76","2673-CXQEU","Churn"
"77","6416-JNVRK","Not_Churn"
"78","5590-ZSKRV","Not_Churn"
"79","0191-ZHSKZ","Churn"
"80","3887-PBQAO","Not_Churn"
"81","5919-TMRGD","Churn"
"82","8108-UXRQN","Churn"
"83","9191-MYQKX","Churn"
"84","9919-YLNNG","Churn"
"85","0318-ZOPWS","Not_Churn"
"86","4445-ZJNMU","Churn"
"87","4808-YNLEU","Not_Churn"
"88","1862-QRWPE","Not_Churn"
"89","2796-NNUFI","Not_Churn"
"90","3016-KSVCP","Churn"
"91","4767-HZZHQ","Churn"
"92","2424-WVHPL","Churn"
